"drug","n_users","iacb_status","boustani_score","boustani_status"
"loteprednol; tobramycin ophthalmic",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"methazolamide",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"methyclothiazide",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"methyldopa",1,"d. unscored (not on list)",0,"a. confirmed score zero"
"metronidazole topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"mexiletine",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"miglitol",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"minocycline",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"mycophenolic acid",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"naltrexone",1,"d. unscored (not on list)",0,"a. confirmed score zero"
"nateglinide",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"neomycin; polymyxin b sulfate topical",1,"d. unscored (not on list)",NA,"c. combination, partially resolved"
"nicotine",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"nitrazepam",1,"d. unscored (not on list)",0,"a. confirmed score zero"
"nizatidine",1,"d. unscored (not on list)",0,"a. confirmed score zero"
"nystatin topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"nystatin; triamcinolone topical",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"onabotulinumtoxina",1,"d. unscored (not on list)",NA,"d. unscored (not on list)"
